feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
miR-125b-1,95,3521,38,526,,,,,,,,,0.22882504199999998,
miR-181b-2,8,249,5,35,,,,,,,,,0.33260936625,0.37773506777777777
miR-214,1076,35158,733,15096,,,,,,,,,0.44684259249999997,
miR-29b-2,60,1950,31,341,,,,0.5,,,,,,
miR-224,552,15758,360,6612,,,,0.5,,,,,,
miR-125b-2,87,3394,44,706,,,,,,,,,0.22882504199999998,
miR-1538,10,180,6,91,,,,,,,,,,0.37773506777777777
miR-29c,575,15979,328,5182,,,,0.5,,,,,0.26314818,
miR-337,126,3905,80,1190,,,0.5,0.5,0.5,,,0.17503448,0.22882504199999998,0.28639421
miR-33a,286,10007,218,6021,,,,,,,,,0.38813578666666665,0.37773506777777777
miR-3065,23,589,13,233,,,,,,,,,0.42534129000000004,0.37773506777777777
miR-218-2,27,1092,7,87,,,,0.5,,,,,,
miR-1245,17,308,15,237,,,,0.5,,,,,,
miR-101-1,19,586,7,97,,,0.5,0.5,,,,,0.22882504199999998,0.22743202
miR-216a,215,4648,164,2245,,,,,0.5,,,,,0.37773506777777777
miR-28,258,9893,171,3184,,,,,,,,,0.398769983,
miR-323b,22,611,12,82,,,,,,,,,,0.37773506777777777
let-7c,426,17757,231,3195,,,,,,,,,0.22882504199999998,
miR-181a-1,9,332,5,25,,,,,,,,,0.26314818,0.37773506777777777
miR-1248,33,325,27,202,,,,,,,,,,0.471530669
