feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
PLEKHH3,1,0,1,0,,,,,,,,,0.297618375483871,
PARP16,3,32,3,32,,,,,,,,,0.36317103852941174,
LACTB,20,110,18,104,,,,,,,,,0.25473787592592595,
CBWD3,4,59,4,59,,,,,,,,,0.14343364649999998,0.197204745
ATPAF2,4,10,3,10,,,,0.5,,,,,,
C3orf62,2,27,1,3,,,,,,,,,,0.3523514778571429
MRPS6,8,61,6,28,,,,,0.44,,,,,
COL5A2,197,2900,141,1133,,,,,,,,,,0.404862089375
FAM21C,4,78,1,0,,,,,0.38,,,,,
POLR3GL,2,63,2,63,,,,,,,,,0.38351439875,
SIM2,60,808,40,377,,,,,,,,,0.14343364649999998,
APLP2,22,712,7,97,,,,,0.44,,,,,
SHC1,107,3758,66,644,,,,,,,,,0.13192670888888888,
KLHDC8B,5,45,5,45,,,,,,,,,0.14343364649999998,
EIF2B2,6,26,4,16,,,,,,,,,0.38351439875,
TMC8,8,114,6,36,,,,,,,,,0.1620125404761905,
H1F0,12,258,4,65,,,,,,,,,0.36317103852941174,
C19orf61,0,0,0,0,,,,0.5,,,,,,
POLB,40,731,20,285,,,,,,,,,,0.3523514778571429
HOMEZ,4,140,2,54,,,,,,,,,,0.2003720325
ZFAND6,3,59,0,0,,,,,,,,,0.28311425833333337,
SH3BGRL,16,265,11,156,,,,,,,,,0.14343364649999998,
LSM3,7,232,5,175,,,,0.5,,,,,,
RNF40,26,451,22,381,,,,,,,,,,0.2003720325
C12orf32,2,10,2,10,,,,,0.25,,,,,
NRD1,8,124,3,33,,,,,,,,,0.13192670888888888,0.34344569
CLSTN3,3,25,2,3,,,,,0.38,,,,,
FBXO6,18,251,15,161,,,,0.5,,,,,,
UBR4,33,628,25,421,,,,,,,,,0.13192670888888888,
CTNS,31,261,14,71,,,,,,,,0.49053485333333335,,
MXRA7,10,119,7,52,,,,,,,,,0.14343364649999998,
KLHL9,11,479,2,21,,,,,0.44,,,,,
SGMS1,21,238,15,95,,,,0.5,,,,,0.14343364649999998,0.3251383527272727
BECN1,320,7896,251,5482,,,,,,,,,0.25473787592592595,
IL16,49,735,30,395,,,,,,,,,0.14343364649999998,
CD40,1536,67741,1104,30264,,,,,,,,,0.38351439875,
EPHX1,40,651,18,157,,,,,0.44,,,,,
ISOC2,3,55,1,17,,,,,0.38,,,,,
BTN2A2,13,157,13,157,,,,,,,,,0.13192670888888888,0.2003720325
ATP13A2,28,1647,21,921,,,,,,,,,,0.197204745
EIF5B,23,367,17,229,,,,0.5,,,,,0.13192670888888888,0.175583855
ZDHHC5,25,756,20,272,,,,,,,,,,0.2033092311111111
C14orf159,4,51,3,28,,,,,,,,,0.4186842223809524,
FGFR3,2265,60307,1427,19718,,,,,,,,,0.4339007286046512,
GDF15,294,6624,190,2881,,,,,0.44,,,,,
RAB9A,25,1163,17,508,,,,0.5,,,,,,
PAAF1,2,22,1,3,,,,0.5,,,,,,
SLC35C1,6,128,4,20,,,,,,,,0.49053485333333335,,
RSL1D1,12,315,8,96,,,,,,,,,0.38351439875,
RRM2B,42,1547,26,337,,,,,0.4,,,,,
LEPREL1,13,390,7,142,,,,0.5,,,,,,
MBTPS1,11,103,8,86,,,,,,,,,0.13192670888888888,
PLAA,16,284,9,157,,,,,,,,,0.13192670888888888,0.175583855
SAPS3,0,0,0,0,,,,,,,,,0.4186842223809524,
ADAMTS7,17,183,11,36,,,,0.5,,,,,0.169547845,
PITPNC1,17,787,11,107,,,,,,,,0.49053485333333335,,
SMARCE1,51,1871,33,483,,,,,0.44,,,,,
NOMO3,0,0,0,0,,,,,,,,,,0.41792207210526316
IFT172,8,80,6,66,,,,,,,,,0.13192670888888888,0.41792207210526316
PPP2R3B,5,5,2,5,,,,,,,,,0.38351439875,
C7orf29,1,17,0,0,,,,,0.25,,,0.33298262,,
BPHL,7,99,4,18,,,,,,,,0.49053485333333335,,
HERPUD1,26,535,15,199,,,,,,,,,0.14343364649999998,
FAM63A,6,43,5,43,,,,,,,,,0.14343364649999998,
GDI2,31,1397,12,71,,,,,,,,,0.14343364649999998,
RBBP9,5,96,2,3,,,,,,,,,,0.404862089375
BAIAP2,23,949,9,48,,,,,,,,,0.28311425833333337,
PDCL3,4,16,4,16,,,,,,,,,0.2983885190625,
LOC388789,0,0,0,0,,,,,0.25,,,,,
WDR20,6,254,4,31,,,,,,,,,0.2201733608695652,
ALG8,9,139,7,34,,,,0.5,,,,0.33298262,0.13192670888888888,0.2003720325
AMIGO2,34,998,24,163,,,,0.5,,,,,,
ACAD10,4,200,4,200,,,,0.5,,,,,,
BCL2L12,43,1023,27,258,,,,,0.25,,,,,
NUB1,10,211,6,124,,,,0.5,,,,,,
RGS14,12,200,8,64,,,,,0.38,,,,,
MRPL30,5,73,3,22,,,,0.5,,,,,,
PRMT7,66,3119,49,1077,,,,,,,,,0.38351439875,
CTTN,60,1876,29,332,,,,0.5,,,,,0.25473787592592595,
NMB,63,1027,42,464,,,,0.5,,,,,,
SAPS1,0,0,0,0,,,,,,,,,,0.272847191
KRT23,34,513,25,177,,,,0.5,,,,,,
CPE,160,2094,82,1017,,,,,0.4,,,,,
DYRK4,5,81,5,81,,,,,,,,,0.25473787592592595,
MARVELD3,14,334,7,63,,,,,,,,,0.14343364649999998,0.41792207210526316
CCDC34,22,848,15,673,,,,,,,,,0.28311425833333337,
