feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
C20orf30,0,0,0,0,,,,,0.47000000000000003,0.44,,,,
NFE2L2,403,12193,307,4653,,,,,,0.44,,,,
RFX7,9,112,7,42,,,,,,0.5,,,,
LOC285074,0,0,0,0,,,,,,,,,,0.20692656285714287
DYM,18,131,10,101,,,,,,0.46,,,,
GARS,31,419,21,265,,,,,,0.21,,,,
LRRC57,1,6,1,6,,,,,,0.21,,,,
NNT,187,3663,118,2470,,,,,0.44,,,,,
EED,325,12736,181,2672,,,,,0.47000000000000003,,,,,
LOC91316,1,2,0,0,,,,,,0.21,,,,
SLC25A37,30,478,24,201,,,,,,0.46,,,,
APOL2,21,291,12,62,,,,0.5,,0.42,,,,
C6orf47,3,35,2,11,,,,,,0.23,,,,
ALPK1,10,128,9,122,,,,,,0.21,,,,
CLEC2D,36,533,28,370,,,,,,0.44,,,,
CAST,440,10331,205,3243,,,,,,,,,,0.170960086
GSTO1,57,2086,31,303,,,,,0.44,,,,,
ZHX3,15,119,13,87,,,,,,,,,0.1094231925,
DHRSX,3,69,1,4,,,,,0.29,,,,,
MLKL,250,5776,226,4562,,,,,,0.35000000000000003,,,,
SORBS3,6,79,5,14,,,,,,0.48,,,,
NHLRC3,5,69,2,17,,,,,0.29,,,,,
HEYL,49,1623,28,288,,,,,0.29,,,,,
C6orf203,1,5,1,5,,,,,0.49,0.21,,,,
UBQLN4,17,132,15,104,,,,,0.44,,,,,
SLC7A8,37,660,23,476,,,,,,,,,,0.309290336
C14orf126,0,0,0,0,,,,,,0.21,,,,
AGPAT6,3,21,1,6,,,,0.5,,,,,,
FGD5,86,951,82,933,,,,,0.49,,,,,0.170960086
ACTR1B,3,9,3,9,,,,,,,,,,0.19226349666666667
PKP4,12,154,6,30,,,,,0.44,,,,,
ASL,235,3168,122,1240,,,,,0.47000000000000003,,,,,
KRR1,4,9,4,9,,,,,,,,,,0.24257835333333333
BUB3,80,2927,45,753,,,,,0.44,,,,,
ANGEL2,9,77,4,72,,,,,,0.21,,,,
STAT6,735,26745,598,13870,,,,,,0.44,,,,
MRFAP1L1,3,5,3,5,,,,,0.49,0.42,,,,
CECR5,5,50,3,18,,,,,,0.46,,,,
PTPN6,72,1044,61,700,,,,,,0.42,,,0.4878533277777778,
ZNF322A,6,153,4,46,,,,,0.44,,,,,
STXBP2,22,149,15,129,,,,,,0.21,,,,
POLR2C,8,38,6,14,,,,,,0.46,,,,
ESD,127,876,56,208,,,,,,0.21,,,,
HNRNPH2,16,133,11,61,,,,,,0.21,,,,
