feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
TAF2,35,1314,17,66,,,,,,0.15,,,,
KIAA1826,2,253,1,0,,,,,0.25,,,,,
NR4A2,363,11539,233,4946,,,,,0.27,,,,,
HIBCH,39,955,26,665,,,,,0.33,,,,,0.3932296511764706
SAPS3,18,366,8,31,,,,,0.25,,,,,
SPAG16,34,573,18,112,,,,,0.25,,,,,
RBM4B,6,78,3,21,,,,,,0.14,,,,
NKAP,88,1740,76,1280,,,,,0.27,,,,,
ZNF615,7,150,3,5,,,,,,0.38,,,,
LTBP2,179,4487,102,1008,,,,,,0.14,,,,
MLF1IP,52,1208,18,107,,,,,0.27,,,,,
GOLGA7,24,2138,10,49,,,,,0.24,,,,,
MACC1,578,15930,412,8144,,,,,0.27,,,,,
FKBP8,80,6651,59,2310,,,,,,0.36,,,,
C3orf38,7,117,4,57,,,,,,0.26,,,,
MARCKS,443,16450,229,3459,,,,,0.33,,,,,
RBP1,215,8909,124,1798,,,,,,,,,,0.22566504571428572
HNRNPF,162,3873,119,1859,,,,,,0.33,,,,
IGF1,3544,129998,2013,37727,,,,,,0.3,,,,
CWC27,14,218,8,86,,,,,0.33,,,,,
CREM,218,4986,137,2214,,,,,0.23,,,,,
KTELC1,2,33,2,33,,,,,0.27,,,,,
FAM104A,8,197,3,20,,,,,,0.33,,,,
ABHD8,26,314,18,106,,,,,,0.26,,,,
UBXN7,39,683,26,329,,,,,,0.38,,,,
TARSL2,11,113,10,101,,,,,,,,,,0.13485671222222223
CCDC149,7,79,5,20,,,,,0.23,,,,,
COL11A1,774,20182,531,7442,,,,,,0.26,,,,
CPT1A,878,27516,714,16086,,,,,0.25,,,,,
HK2,3448,96934,2725,49207,,,,,0.32,,,,,
ST6GALNAC4,51,1089,41,374,,,,,0.23,,,,,
SS18,263,5508,159,1681,,,,,0.23,,,,,
APOD,351,11857,242,4005,,,,,0.23,,,,,
MTERFD2,7,444,1,3,,,,,0.35000000000000003,,,,,
MRPL16,25,587,18,242,,,,,0.23,,,,,
FLOT1,214,4323,142,1609,,,,,0.27,,,,,
CASP7,372,15227,216,4804,,,,,0.23,,,,,
VPS26B,13,315,8,42,,,,,,0.15,,,,
