feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
miR-542,229,6231,161,2721,,,,,,,,,0.101615835,0.10993414166666667
miR-374a,226,5796,157,2305,,,,,,,,,0.1417386023529412,
miR-3913-1,0,0,0,0,,,,,,,,,0.1651393604347826,
miR-3647,1,7,1,7,,,,,,,,,0.12236430357142858,
miR-629,112,4442,66,1172,,,,,,,,,0.12817888466666666,
miR-765,98,2448,78,1071,,,,,,,,,0.1651393604347826,
miR-582,237,6634,201,4110,,,,,,,,,0.11720352818181819,
miR-2115,21,207,14,71,,,,,,,,,0.20363726333333335,
miR-1179,76,910,67,629,,,,,,,,,0.12236430357142858,
miR-1264,26,435,19,192,,,,,,,,,0.1417386023529412,
miR-3622a,22,580,20,562,,,,,,,,,0.20363726333333335,
miR-3615,12,145,11,121,,,,,,,,,0.2310577780645161,
miR-217,502,16419,349,6650,,,,,,,,,0.20363726333333335,0.31237265833333333
miR-584,203,6328,133,2139,,,,,,,,,0.101615835,
miR-26a-1,43,2627,23,221,,,,,,,,0.34765358,,
miR-148a,825,32559,554,15908,,,,,,,,,,0.10993414166666667
miR-93,971,34202,627,11123,,,,,,,,,0.11720352818181819,
miR-1295,5,46,3,34,,,,,,,,,,0.15332210285714284
miR-34c,483,16821,305,4561,,,,,,,,,0.101615835,0.10993414166666667
miR-452,157,6221,93,1661,,,,,,,,,0.1456824915,
miR-200c,1179,45197,725,14996,,,,,,,,,0.11720352818181819,0.175404155
miR-15b,653,21960,406,6431,,,,,,,,,0.1456824915,
miR-148b,307,10456,203,3696,,,,,,,,,,0.270704097
miR-628,143,3412,104,1990,,,,,,,,0.34765358,,
miR-1275,176,5100,134,3091,,,,,,,,0.34765358,0.11720352818181819,
miR-28,305,11292,218,3167,,,,,,,,,0.1823928056,
miR-197,377,10713,267,4572,,,,,,,,,0.14255248222222222,
miR-1976,22,262,17,169,,,,,,,,,,0.31237265833333333
miR-200a,992,34901,595,10228,,,,,,,,,0.12236430357142858,
miR-451,594,23267,305,6212,,,,,,,,,0.31989562818181816,
miR-34a,2443,93706,1580,35274,,,,,,,,,0.11720352818181819,0.10993414166666667
miR-19a,743,30533,455,12282,,,,,,,,,0.11720352818181819,0.10993414166666667
miR-181c,410,16588,251,4271,,,,,,,,,0.19068242923076922,
miR-34b,436,18046,246,3950,,,,,,,,,0.1823928056,
miR-578,39,1110,33,556,,,,,,,,,0.11720352818181819,0.17593672333333332
miR-503,407,11894,286,4591,,,,,,,,,0.1651393604347826,
miR-3156-2,0,0,0,0,,,,,,,,0.34765358,,
miR-3923,12,270,9,92,,,,,,,,0.34765358,,
miR-532,251,4894,191,2378,,,,,,,,,0.20363726333333335,
miR-3127,51,934,44,526,,,,,,,,,0.101615835,0.10993414166666667
miR-502,167,5593,134,2321,,,,,,,,0.34765358,0.27182293375,
