feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
miR-4315-1,0,0,0,0,,,,,0.49999999999999994,,,,,
miR-224,559,18932,356,7260,,,0.38235294117647056,,,,,,,0.15561232
miR-128-1,53,1497,31,547,,,,,,,,,0.07708272818181817,
miR-1305,70,1367,61,915,,,,,0.44999999999999996,,,,,
miR-3690,3,41,2,8,,,0.38235294117647056,,0.20000000000000007,,,0.031908008,0.25180141285714286,0.2082886217647059
miR-367,177,5808,100,2167,,,,,0.49999999999999994,,,,,
miR-196b,310,8131,195,2285,,,,,,,,,0.08296547733333333,
miR-148a,825,32559,554,15908,,,,,,,,,0.12569026368421052,
miR-564,35,830,24,444,,,,,0.35,,,,,
miR-346,182,4399,136,2397,,,0.38235294117647056,,0.20000000000000007,,,0.031908008,0.045374105,0.107016345
miR-3117,5,38,1,18,,,0.38235294117647056,,0.35,,,0.4189417366666667,,0.107016345
miR-3074,14,289,7,72,,,,,,,,,0.045374105,
miR-147b,32,451,21,241,,,0.38235294117647056,,,,,,,0.24576499947368421
miR-767,111,3070,75,1758,,,,,,,,,0.10416898888888888,
miR-10a,563,20065,370,6974,,,,,,,,,0.21224697950000002,
miR-196a-1,20,427,11,135,,,,,,,,,0.04925442428571429,
miR-3157,14,113,14,113,,,0.38235294117647056,,,,,,,0.24768246349999998
miR-551b,82,1828,50,810,,,,,0.49999999999999994,,,,,
miR-603,89,2349,61,1108,,,,,0.49999999999999994,,,,,
miR-194-1,11,702,4,13,,,0.38235294117647056,,,,,,,0.107016345
miR-423,402,9456,296,4684,,,,,,,,,0.08296547733333333,0.13582327555555557
miR-3615,12,145,11,121,,,0.38235294117647056,,,,,,,0.2082886217647059
miR-3688,3,21,2,7,,,,,0.49999999999999994,,,,,
miR-10b,1062,42000,592,9200,,,0.3888888888888889,,0.35,,,0.031908008,0.045374105,0.2082886217647059
miR-1266,45,1293,37,904,,,,,,,,,0.05070502375,
miR-3150b,12,190,11,112,,,0.38235294117647056,,,,,0.09658242571428573,,0.2082886217647059
miR-335,632,22423,400,6164,,,,,0.49999999999999994,,,0.05484670333333333,0.084985090625,
let-7e,356,11348,232,3443,,,0.38235294117647056,,,,,,0.058505664444444445,0.24576499947368421
miR-320d-2,0,0,0,0,,,,,,,,,,0.2082886217647059
miR-7-3,22,639,10,219,,,0.38235294117647056,,,,,,,0.15561232
miR-515-2,0,0,0,0,,,,,0.49999999999999994,,,,,
miR-155,2173,94172,1448,35374,,,,,,,,,0.045374105,
miR-3677,23,244,18,137,,,,,,,,,0.045374105,0.15561232
miR-15b,653,21960,406,6431,,,0.38235294117647056,,0.20000000000000007,,,0.031908008,0.045374105,0.13582327555555557
miR-466,42,714,34,518,,,,,0.49999999999999994,,,,,
miR-3661,1,1,1,1,,,,,0.49999999999999994,,,,,
miR-16-2,59,1336,38,496,,,,,,,,,0.08296547733333333,
miR-610,35,785,22,220,,,,,0.49999999999999994,,,,,
miR-501,179,4452,144,2631,,,,,,,,,0.42077044739130437,
miR-511-2,3,73,1,6,,,0.38235294117647056,,0.49999999999999994,,,,0.10134364352941176,0.107016345
miR-1285-1,1,4,1,4,,,0.38235294117647056,,0.20000000000000007,,,0.031908008,,0.107016345
miR-3944,6,95,4,15,,,,,0.49999999999999994,,,,,
miR-320a,407,9685,298,4657,,,,,0.35,,,,0.08296547733333333,
miR-1277,30,392,28,324,,,0.38235294117647056,,,,,,,0.107016345
miR-424,659,21680,473,9028,,,,,,,,,0.37320398818181816,
miR-503,407,11894,286,4591,,,0.38235294117647056,,,,,,0.058612471,0.13582327555555557
miR-572,48,1375,22,424,,,,,0.49999999999999994,,,,,
miR-3654,3,71,2,1,,,,,0.49999999999999994,,,,,
let-7f-2,30,965,18,144,,,0.38235294117647056,,0.20000000000000007,,,0.4189417366666667,,
