feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
PSIP1,47,1195,34,688,,,,,,,,0.031997017142857145,,
BTN3A2,45,3987,35,383,,,,,0.37,,,,,
ATF2,333,11040,214,4622,,,,,,,,,,0.104827148
TOP2A,722,13820,516,6006,,,,,,,,0.02678531166666667,,
L3MBTL2,24,231,17,144,,,,,0.35000000000000003,,,,,
IGFBP2,613,24482,386,6892,,,,,,,,,0.083707248,
GALC,103,3790,46,427,,,,,0.39,,,,,
DNAJC12,29,859,16,147,,,,,,,,,0.22514365130434782,
ACAD11,7,172,5,78,,,,,,0.44,,,,
C10orf10,10,175,8,163,,,,,,0.44,,,,
SUSD5,11,133,7,40,,,,,0.37,,,,,
ZNF853,4,20,2,6,,,,,,,,,,0.0832881
TRMU,12,96,9,77,,,,,0.35000000000000003,,,,,
UPF3A,13,312,12,252,,,,,,0.44,,,,
BCCIP,42,1198,19,148,,,,,,,,0.056098091,,
MAGI2,156,3331,120,1459,,,,,0.34,,,0.40740933526315787,,0.0832881
C14orf126,1,23,0,0,,,,,0.34,,,,,
PTPN21,13,139,8,60,,,,,0.34,,,,,
STEAP3,233,5758,210,3532,,,,,,,,,0.22514365130434782,
C14orf93,2,18,2,18,,,,,,0.44,,,,
WDR60,7,88,4,29,,,,,0.35000000000000003,,,,,
BIN3,12,222,7,32,,,,,,,,,,0.0832881
MFAP4,52,935,35,148,,,,,0.35000000000000003,,,0.02678531166666667,,0.0832881
RPL14,25,489,19,372,,,,,0.35000000000000003,,,,,
TIMP1,728,22632,484,8427,,,,,,0.44,,,,
CCNI,18,223,13,99,,,,,,,,,,0.44536195749999996
SNRNP27,4,82,2,30,,,,,0.34,,,,,
AG2,68,2378,47,539,,,,,0.34,,,,,
CCNY,29,1826,19,1537,,,,,,0.44,,,,
MAP1LC3B2,12,149,8,46,,,,,,,,,0.101347389,
GMEB2,11,115,9,80,,,,,0.34,,,,,
WHAMM,6,5046,3,1528,,,,,0.34,,,0.216967113125,,
IGFBP5,266,7507,167,2773,,,,,0.35000000000000003,,,0.056098091,,
NBPF14,2,15,1,8,,,,,0.35000000000000003,,,,,
PHYHIPL,11,67,10,57,,,,,,0.44,,,,
POLD3,48,616,35,264,,,,,,,,,0.22514365130434782,
WEE1,870,26648,590,10735,,,,,,0.44,,,0.05793038,0.104827148
TAGLN2,121,3807,81,941,,,,,,0.44,,,,
FKBP4,51,2476,37,2202,,,,,,,,,,0.16829608999999998
MAGED1,31,451,19,250,,,,,0.37,,,,,
FEZ2,9,76,7,24,,,,,,,,,,0.19842471705882353
CPSF6,51,2545,40,2120,,,,,,,,,,0.3198872795652174
ENTPD6,7,47,5,46,,,,,0.34,,,,,
PER3,121,3206,88,1630,,,,,,,,,,0.40103099777777773
LY6E,61,1346,48,747,,,,,,,,,,0.104827148
BAI2,37,405,12,70,,,,,0.34,,,,,
KCNH2,79,1359,42,311,,,,,0.35000000000000003,,,,,
PPPDE1,1,15,1,15,,,,,,,,,0.22514365130434782,
TRIM8,68,1270,49,627,,,,,,0.44,,,,
NBPF9,4,8,3,8,,,,,0.34,,,,,0.104827148
MFNG,27,859,16,137,,,,,0.35000000000000003,,,,,
HBP1,97,3452,62,1453,,,,,,,,,,0.19842471705882353
PITRM1,15,144,11,71,,,,,,,,0.0901493775,,
PRMT6,124,3817,104,1818,,,,,,,,,0.22514365130434782,
FKBP9,33,560,23,239,,,,,,0.44,,,0.19432474785714285,
TMEM135,8,56,6,51,,,,,,0.44,,,,
C17orf51,0,0,0,0,,,,,0.37,,,,,
SKI,392,19220,197,4286,,,,,0.34,0.44,,0.02678531166666667,0.22514365130434782,0.1169552309090909
HMGN5,26,338,20,265,,,,,,,,,,0.104827148
