feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
miR-199a-2,38,1926,14,106,,,,,0.25,0.5,,,0.07650409058823529,
miR-142,1124,39980,819,16384,,,0.25,,,0.5,,,0.02910834666666667,0.0391422175
miR-223,1375,53770,892,17320,,,0.5,,0.4,0.5,,0.087237596,0.02910834666666667,0.2441706175
miR-1247,161,6505,127,4484,,,,,,,,0.19087020333333332,0.07650409058823529,
miR-214,1603,57253,1036,20720,,,,,,,,,0.04663698555555555,
miR-21,4470,190920,2840,66860,,,,,,,,,0.07650409058823529,
miR-642,47,2459,21,306,,,,,,,,,0.04663698555555555,
miR-342,551,20291,356,6730,,,,,,,,,0.07650409058823529,
miR-1248,48,715,36,370,,,0.5,,,,,,,
miR-335,786,33200,483,8191,,,,,,,,,,0.2646555330769231
miR-1181,34,981,18,182,,,0.5,,,,,,,
miR-191,516,20603,287,4402,,,,,,,,0.159656195,,
miR-103-2,12,1362,4,43,,,0.3,,,,,,0.23576666083333334,0.08022004142857143
miR-199b,320,9284,198,3453,,,,,,,,,0.07650409058823529,
miR-199a-1,37,2079,14,120,,,,,,,,,0.07650409058823529,
miR-132,607,19695,412,8025,,,,,,0.5,,,0.04561938857142857,
miR-146a,1393,57373,896,25686,,,,,,,,,0.02910834666666667,
miR-150,1180,41195,800,15485,,,0.16666666666666666,,0.2,0.5,,0.0738242,0.02910834666666667,0.0391422175
miR-1251,25,353,21,241,,,,,,,,0.35844371199999997,,
miR-650,89,2843,57,853,,,,,,,,0.4583363275,,
miR-1237,19,235,17,160,,,,,0.25,,,0.22409090454545455,,
miR-92a-1,94,3207,60,769,,,0.5,,,,,,,
miR-326,535,16416,417,8155,,,,,,,,0.32454577769230764,,
miR-511-2,1,19,0,0,,,,,,0.5,,,0.23576666083333334,
miR-1295,5,59,3,47,,,,,,,,,0.23576666083333334,0.3640364406666666
miR-155,2613,128839,1670,45072,,,0.5,,0.2,,,0.087237596,0.07650409058823529,0.31607605071428574
miR-15b,719,30988,450,8616,,,,,0.25,,,0.201004947,,0.2441706175
miR-181c,375,16551,221,4263,,,0.5,,,,,0.11548408142857143,0.07650409058823529,0.08022004142857143
miR-576,109,2015,89,1012,,,0.5,,,,,,,0.2441706175
miR-212,456,22696,299,10514,,,,,,,,,0.12410294684210525,
miR-185,622,16659,439,7817,,,,,,,,0.35844371199999997,0.17617258666666666,
miR-140,869,29667,614,11053,,,0.16666666666666666,,,,,,0.02910834666666667,0.0391422175
miR-152,690,25767,466,8359,,,,,,0.5,,,0.162010491,
miR-629,150,5969,86,1727,,,,,,,,,0.36981491379310344,
miR-139,800,24711,593,10723,,,,,,0.5,,,0.38383357533333334,
miR-25,986,43636,631,15038,,,0.5,,0.2,,,0.087237596,0.32492517035714286,0.12497092
miR-452,158,6163,101,1771,,,,,,,,,0.09548018,
miR-1249,66,1512,53,954,,,,,0.4,,,0.3004911066666667,0.2873756866666667,
miR-1224,143,3371,107,1627,,,0.5,,0.2,,,0.09172741166666666,,0.06514157400000001
miR-22,1129,42211,775,21097,,,0.16666666666666666,,0.2,,,0.0738242,0.02910834666666667,0.0391422175
miR-196b,348,10255,207,2518,,,0.5,,,,,,,0.2441706175
miR-135a-1,8,860,4,67,,,,,,,,,0.2811482411538461,0.392520943125
miR-145,2373,89265,1526,27823,,,,,,,,,0.2442697108,
