feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
miR-1270,120,2543,117,2389,,,,,,,,0.21335958,0.10569251,0.279813285
miR-342,551,20291,356,6730,,,,,,,,0.23061888,0.38613371999999996,
miR-301b,137,3224,103,1912,,,,,,,,,,0.348420795
miR-150,1180,41195,800,15485,,,,,,,,,0.38613371999999996,0.23425938000000002
miR-148a,984,42177,664,19202,,,,,,,,,0.38613371999999996,
miR-1301,111,1390,91,886,,,,,,,,,,0.348420795
miR-96,662,23010,420,6971,,,,,,,,0.4706146475,,0.23425938000000002
miR-1-2,35,1220,18,243,,,,,,,,0.21335958,,0.348420795
miR-93,1135,43996,726,13539,,,,,,,,,0.10569251,0.348420795
miR-30d,485,19267,298,5423,,,,,,,,,0.32548963000000003,0.23425938000000002
