feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
CTPS,58,1013,35,595,,,,,,,,,0.3715674275,
CCR3,606,25401,384,8989,,,,,,0.35,,,0.228263791,
CD1C,665,24420,513,9243,,,,,,,,,0.3835952092857143,
UGT8,55,1427,32,276,,,,,,,,,,0.13331289777777777
KIAA0467,0,0,0,0,,,,,,,0.3,,,
NPM2,39,1001,16,101,,,,,0.44999999999999996,,,,,
CDH16,46,1188,22,166,,,,,0.44999999999999996,,,,,
SH2D1B,18,495,13,213,,,,,0.44999999999999996,,,,,
DPY19L2P2,5,204,1,51,,,,,,,,,,0.24561941866666667
SLAMF7,331,12027,263,6957,,,,,,,,,0.14284566666666668,0.23911026076923078
RARS2,13,55,10,53,,,,,,,,0.2678477290909091,,
CPEB4,101,2608,69,996,,,,,,,,,,0.38965642833333336
C6orf117,3,111,0,0,,,,,,0.35,,,0.228263791,0.13331289777777777
POLD3,136,4475,82,1183,,,,,,,,,,0.23911026076923078
FSIP1,14,499,6,78,,,,,,,,,,0.13331289777777777
KIAA1012,4,155,1,0,,,,,,,,,,0.2574274075
ALOX12,209,11251,175,9327,,,,,0.44999999999999996,,,,,
ERBB4,1544,61018,725,13394,,,,,0.44999999999999996,,,,,
SHMT2,306,19844,229,7787,,,,,,,0.3,,,
WNK1,150,7872,89,2486,,,,,,,0.3,,0.1479988075,
SH3BGR,15,248,7,81,,,,,,,0.3,,,
CPVL,44,1022,23,210,,,,,,,,,,0.13331289777777777
CD38,2460,109641,1657,46175,,,,,,,,,0.14284566666666668,0.13331289777777777
TIFAB,20,801,16,166,,,,,,,,,0.18751363125,
OR51A4,0,0,0,0,,,,,,,,0.248156979,,0.13331289777777777
AP2A1,43,1253,23,243,,,,,,,,,0.15448459666666667,
CCDC84,4,41,4,41,,,,,,,0.3,0.248156979,,
PPL,303,7467,133,1501,,,,,,,0.3,,,0.34816636588235295
ERN1,190,9297,127,3191,,,,,,,,0.248156979,,
WTAP,815,22418,779,20062,,,,,,,,,,0.23911026076923078
OR51E1,14,750,10,62,,,,,,,0.3,,,
TINAGL1,46,1902,21,568,,,,,,,,0.248156979,,
AAAS,240,16226,129,3082,,,,,0.44999999999999996,,0.3,,,
SLIT3,119,3223,57,517,,,,,,,,0.248156979,,
HOXC5,47,1071,17,156,,,,,,,,0.248156979,,
AKT2,1963,97889,965,23592,,,,,,,0.3,,,0.13331289777777777
SUPT6H,18,369,11,229,,,,,,,0.3,,,
CIB1,92,2191,60,1189,,,,,,,,,0.4424829353333333,
PAK4,424,14396,254,5791,,,,,,,,,0.3835952092857143,
PARD6B,49,1505,27,816,,,,,,0.35,,0.248156979,0.14284566666666668,0.23911026076923078
HOXB4,156,4645,90,1858,,,,,,,,0.248156979,,
HIST2H2BE,54,1117,28,367,,,,,,,0.39999999999999997,,,
TRPC4,116,4309,61,2244,,,,,0.44999999999999996,,,,,
ZFHX4,149,2113,114,1142,,,,,,,,,0.3715674275,
PROSC,13,294,4,50,,,,,,,0.3,0.248156979,,0.13331289777777777
IER2,60,1422,35,501,,,,,,,,0.248156979,,
SLAMF1,87,2346,54,503,,,,,,,0.3,,0.15448459666666667,
CEP78,15,156,10,70,,,,,,,,,,0.13331289777777777
SLC16A3,187,6521,126,3907,,,,,,,,,,0.24561941866666667
SH2D1A,107,8742,60,882,,,,,,,0.3,,0.18751363125,
OR51L1,5,51,5,51,,,,,,,0.35,,,
MKNK2,94,4336,56,664,,,,,,,0.3,,,
KIAA0082,0,0,0,0,,,,,,,0.3,,,
CCDC34,17,1083,13,632,,,,,,,,,,0.4134823236842105
