feature,articles,citations,recent_articles,recent_citations,vita,boruta,ssboost,deeppink,kol,korf,koglm,ipssl,ipssrf,ipssgb
ITGA8,66,1733,39,1026,,,,,,,,,,0.1413221990909091
LAIR1,192,2631,166,1899,,,,,,0.36,,,0.032805274545454545,
IGKC,147,4929,101,1248,,,,,,0.36,,,,
LHFPL2,9,241,5,59,,,,,,,0.47000000000000003,,,
ITK,296,12545,196,5701,,,,,,0.36,,,,
ARHGAP30,29,687,22,189,,,,,,,0.47000000000000003,,0.0688709075,
TMEM192,5,346,2,5,,,,,,,,,,
EBI2,24,949,10,285,,,,,,0.36,,,,
PHKA2,14,351,6,41,,,,,,,,,,0.29436967454545454
CH25H,58,1544,43,1179,,,,,,,,,,0.29436967454545454
BTK,687,29040,479,13785,,,,,,,,,0.04272077214285714,
PSCDBP,0,0,0,0,,,,,,0.34,,,0.06876616733333334,
FAM83B,43,689,36,365,,,,,,0.36,,,,
ITGB2,276,5800,207,2567,,,,,,0.34,,,0.08140929611111111,
MYO1F,20,600,10,167,,,,,0.5,,,0.061206095,0.04072354923076923,0.29436967454545454
DOCK2,92,2462,58,651,,,,,,,0.47000000000000003,,0.032805274545454545,0.097094972
TTC23,3,14,3,14,,,,,,,,0.32326869999999996,,
PTPRC,284,7997,211,3943,,,,,,,,,0.032805274545454545,
IGHV4-31,9,1112,6,1061,,,,,,,,,,0.3762278873076923
NUP62CL,4,32,3,6,,,,,,,0.47000000000000003,,,
FGF7,212,8642,147,4018,,,,,,,0.47000000000000003,,0.09265938,
FILIP1L,40,1048,22,329,,,,,,,,,0.2454771448,0.24881768375
ANTXR2,40,480,21,191,,,,,,,0.47000000000000003,,0.032805274545454545,0.097094972
GIMAP8,12,196,8,75,,,,,,0.34,0.47000000000000003,,0.032805274545454545,0.097094972
CDGAP,6,175,4,44,,,,,,0.36,0.47000000000000003,,0.032805274545454545,
KLHL6,33,1026,20,138,,,,,,0.36,,,,
TSR1,22,401,13,115,,,,,,,,0.212328775,,
CD96,404,14161,337,7379,,,,,,,,0.13947250666666666,,
DDR2,384,14542,272,6096,,,,,,,,0.209408722,,
CD180,36,777,20,410,,,,,,,,,0.11588688500000001,
SH2D1A,71,5219,47,726,,,,,,0.36,,,,
GPRIN3,7,75,6,38,,,,,,0.36,,,,
CAPN3,29,235,19,102,,,,,,,,,,0.355355676
CD4,13992,501755,10414,198714,,,,,,0.36,,,0.11588688500000001,
LOC162632,0,0,0,0,,,,,,0.36,,,,0.29436967454545454
C9orf152,7,223,3,52,,,,,,,0.47000000000000003,,,0.355355676
ITGAM,386,9336,351,6161,,,,,,0.36,0.47000000000000003,,0.17859525782608698,
IGKV1-5,16,210,10,73,,,,,,,,,,0.1413221990909091
MCTP1,28,285,19,135,,,,,,0.34,,,0.07693274529411764,
ESM1,149,3737,106,1437,,,,,,0.36,,,,
PTPN22,84,5130,52,1413,,,,,,0.36,,,,
DOCK8,70,1939,36,297,,,,,,,,,0.032805274545454545,0.1413221990909091
HAVCR2,1062,19473,1006,11587,,,,,,,,,0.21922029166666668,
CHAF1B,33,460,24,240,,,,,,,,0.362584785,,
GIMAP6,20,242,13,80,,,,,,,,,0.032805274545454545,
CDH22,13,247,4,27,,,,,,,,,,0.29436967454545454
FNDC1,53,1172,30,268,,,,,,0.36,,,0.31140138884615387,
C1QC,167,3374,143,2655,,,,,,0.36,,,,
MST101,0,0,0,0,,,,,,,,,,0.17149261333333332
OR10P1,0,0,0,0,,,,,,,,,,0.29436967454545454
LCP2,67,1607,44,427,,,,,,0.34,,,0.032805274545454545,
GIMAP7,15,150,13,91,,,,,,,,,0.36592989592592595,
AMICA1,13,1183,6,62,,,,,,0.36,0.47000000000000003,,0.032805274545454545,
MEIS1,272,9872,168,3095,,,,,,,0.47000000000000003,,,
WDR76,28,360,24,253,,,,,,,,0.1497868075,,
A2M,156,2008,96,773,,,,,,0.36,0.47000000000000003,,,
PSCD4,4,54,2,16,,,,,,0.34,,,0.034594235833333334,
MYH11,335,13049,220,5759,,,,,,,,,,0.4551630585714285
MS4A6A,41,1744,31,1510,,,,,,0.36,,,,
TMEM170B,11,162,6,22,,,,,,,,,,
C9orf43,0,0,0,0,,,,,,0.36,0.47000000000000003,,,
ABCA6,35,802,18,193,,,,,,0.36,,,,
DAB2,226,9395,116,2083,,,,,,,,,0.09265938,
ABI1,68,2716,37,399,,,,,,,,,,0.18061181923076924
LRRIQ2,1,37,0,0,,,,,,,,,,0.18100161333333334
GPR124,42,2498,22,969,,,,,,,,,,0.18100161333333334
RNF130,15,358,7,60,,,,,,,,,,0.1413221990909091
ARHGEF6,38,1009,25,579,,,,,0.5,,,0.061206095,0.032805274545454545,0.097094972
MYO1C,37,2246,23,1596,,,,,,,0.47000000000000003,,,0.4394527881481482
ZDHHC15,21,464,18,231,,,,,,0.36,,,,0.1413221990909091
ZNF510,7,159,5,119,,,,,,,,,,0.355355676
